candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00007641,2024,"WELLS, ROBERT CARR MR. JR.",INDEPENDENT,Challenger,P,12723.21,4710.89,0.00,"{C00678953,C00831610}",2024-12-31 00:00:00,C00831610,RISE UP WITH ROBBY
P00007823,2024,"LEE, HUHNKIE",REPUBLICAN PARTY,Challenger,P,67864.57,59574.57,8290.00,{C00680728},2024-12-31 00:00:00,C00680728,FRIENDS OF HUHNKIE LEE
P00007831,2024,"RICE, NITA",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00890277},,C00890277,LINEMAKERNITARICE
P00007856,2024,"KENNEWAY, BRUCE",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00681205},,C00681205,"BRUCE KENNEWAY, INDEPENDENT PRESIDENT, NOVEMBER 2024 USING THE WRITE IN VOTE"
P00008540,2024,"LEE, SEYMOUR ART",LIBERTARIAN PARTY,Challenger,P,0.0,0.0,0.0,{C00779165},,C00779165,SEYMOUR LEE FOR PRESIDENT
P00008573,2024,"SIMPSON, GLENN SCOTT ALLISTAIR MR.",INDEPENDENT,Challenger,P,0.00,0.00,0.00,{C00692152},2022-12-31 00:00:00,C00692152,GLENN SCOTT ALLISTAIR SIMPSON
P00008623,2024,"MCMURRAY, JENNIFER",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00690875},,C00690875,JENNIFER MCMURRAY FOR SENATE
P00008946,2024,"POWERS, CHRISTIN NOEL MS.",DEMOCRATIC PARTY,Challenger,P,44960.08,27731.71,17228.37,{C00695429},2024-11-30 00:00:00,C00695429,CHRISTIN POWERS CAMPAIGN
P00009084,2024,"STRIED, CHRISTOPHER",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00693010},,C00693010,FULL STRIED AHEAD
P00009225,2024,"SENEY, RAYMOND J",DEMOCRATIC PARTY,Challenger,P,0.00,90.45,214.75,{C00693697},2024-12-31 00:00:00,C00693697,RAY SENEY FOR PRESIDENT
P00009308,2024,"MOLDAFSKY, ROBERT ION",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00694067},,C00694067,MOLDAFSKY FOR PRESIDENT
P00009423,2024,"HARRIS, KAMALA D.",DEMOCRATIC PARTY,Challenger,P,1175903792.49,1176074620.47,1762056.63,"{C00694455,C00703975}",2024-12-31 00:00:00,C00703975,HARRIS FOR PRESIDENT
P00009670,2024,"MERONEY, JAMES EDWIN",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.00,"{C00700864,C00826693}",2022-05-16 00:00:00,C00826693,AMERICANANSWERS.ORG/MERONEY COMMITTEE
P00009696,2024,"BEHRMAN, DAN TAXATION IS THEFT",UNAFFILIATED,Challenger,P,0.0,0.0,0.0,{C00825406},,C00825406,
P00009910,2024,"WILLIAMSON, MARIANNE",DEMOCRATIC PARTY,Challenger,P,5565640.93,5609164.05,6289.93,"{C00696054,C00834424}",2024-12-31 00:00:00,C00834424,MARIANNE WILLIAMSON FOR PRESIDENT
P00010033,2024,"VILLARI, TIMOTHY MICHAEL MR.",REPUBLICAN PARTY,Challenger,P,96085.79,18222.36,60069.40,{C00696286},2024-12-31 00:00:00,C00696286,CITIZENS FOR TIM VILLARI
P00010066,2024,"DIAZ, DENNIS A",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00696914},,C00696914,DIAZ FOR PRESIDENT
P00010652,2024,"FONT, JOSE DR",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00698464},,C00698464,JOSE FONT FOR PRESIDENT
P00010785,2024,"BROUGH, PAUL MATTHEW KING V",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00699033},,C00699033,PAUL BROUGH'S BOLDER DOERS
P00010876,2024,"TRAHAN, CHANCE BRADFORD MR",NON-PARTY,Challenger,P,53042.79,53042.79,0.00,{C00699652},2023-07-24 00:00:00,C00699652,CHANCE FOR PRESIDENT
P00011031,2024,"RODRIGUEZ, NANCY ELIZABETH MS.",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00700278},,C00700278,NANCY RODRIGUEZ  1ST:FAMILY (BRAND NOT A SOLGAN)
P00011163,2024,"DUKES, RICO CORTEZ",AMERICAN INDEPENDENT PARTY,Challenger,P,0.0,0.0,0.0,{C00884064},,C00884064,THEYFEARTRUTH PRESIDENTIAL COMMITTEE
P00011262,2024,"BELLE, ANITA EILEEN",GREEN PARTY,Challenger,P,0.0,0.0,0.0,{C00701466},,C00701466,ANITA BELLE FOR PRESIDENT
P00011395,2024,"EHRENREICH, RYAN STEPHEN",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00703512},,C00703512,RYAN 4 PREZ
P00011429,2024,"BROWN, DORIS J.W.",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,"{C00702233,C00851857}",,C00851857,DORISJWBROWNFOR PRESIDENT
P00011635,2024,"DOUG, JENKINS",INDEPENDENT,Challenger,P,0.0,0.0,0.0,"{C00752170,C00805705}",,C00805705,DOUG JENKINS FOR PRESIDENT
P00012096,2024,"LANDINGHAM, MICHAEL D D. MR.",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00706978},,C00706978,MICHAEL D LANDINGHAM FOR PRESIDENT
P00012211,2024,"HAWKINS, HOWIE",OTHER,Challenger,P,35601.54,53587.11,0.00,{C00708024},2023-04-15 00:00:00,C00708024,HOWIE HAWKINS FOR OUR FUTURE
P00012492,2024,"SUPREME, VERMIN LOVE",OTHER,Challenger,P,0.00,0.00,3681.98,{C00706598},2022-06-30 00:00:00,C00706598,PONY UP FOR VERMIN SUPREME
P00012872,2024,"DOWNARD, JEFFREY BRIAN DR.",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00713065},,C00713065,JEFF DOWNARD FOR PRESIDENT OF THE UNITED STATES
P00013029,2024,"RESCH, SUSAN",REPUBLICAN PARTY,Challenger,P,17480.76,17477.76,3.00,{C00762831},2023-12-31 00:00:00,C00762831,SUZIE SCOTT PRESIDENTIAL CAMPAIGN COMMITTEE
P00013045,2024,"POPE SR, WAYNE ANTHONY",DEMOCRATIC PARTY,Challenger,P,25514.17,0.00,0.00,{C00830356},2024-04-09 00:00:00,C00830356,WAYNE A POPE FOR PRESIDENT
P00013110,2024,"CARL, ARRECHEA",NONE,Challenger,P,0.0,0.0,0.0,{C00715490},,C00715490,CARL W ARRECHEA SELF WRITE-IN CANDIDATE
P00013409,2024,"HENRY, JOHNNY ISHMEL",AMERICAN INDEPENDENT PARTY,Challenger,P,0.0,0.0,0.0,{C00860387},,C00860387,JOHNNY I HENRY
P00013417,2024,"SYKES, MARCUS ERRELLIUS",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00729079},,C00729079,DIRECT DEMOCRACY PARTY FOR MARCUS SYKES
P00013573,2024,"LYONS SR, STEPHEN PATRICK",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,"{C00719385,C00851295}",,C00851295,LYONS FOR PRESIDENT
P00014175,2024,"HORNBERGER, JACOB GEORGE MR.",LIBERTARIAN PARTY,Challenger,P,75109.18,75109.18,0.00,{C00834069},2024-08-20 00:00:00,C00834069,JACOB HORNBERGER FOR PRESIDNET
P00014357,2024,"BUCHSER-LOCHOCKI, SUSAN",REPUBLICAN PARTY,Challenger,P,20980.11,9212.24,11803.84,{C00728014},2024-12-31 00:00:00,C00728014,FRIENDS OF SUSAN BUCHSER-LOCHOCKI FOR PRESIDENT OF THE USA
P00014399,2024,"CLEMENT, MARY",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00727016},,C00727016,MARY CLEMENT FOR PRESIDENT
P00014472,2024,"WILSON, GEORGE A MR",AMERICAN INDEPENDENT PARTY,,P,0.0,0.0,0.0,{C00727479},,C00727479,VOTE  ABSOLUTE TRANSPARENTCY-ABSOLUTE TRUTH 2024
P00015081,2024,"ARDELEANU, SORINNE FRIEDA",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00733816},,C00733816,FRIENDS OF SORINNE ARDELEANU
P00015271,2024,"WILLIAMS JR, ANDY HOPE",OTHER,Challenger,P,0.0,0.0,0.0,{C00736447},,C00736447,"WILLIAMS FOR PRESIDENT, INC"
P00015297,2024,"AVOURIS, AARON PATRICK",LIBERTARIAN PARTY,Challenger,P,9.00,1.25,0.00,{C00736686},2024-12-31 00:00:00,C00736686,ZERO EXPENDITURE IN THE ELECTION OF AARON AVOURIS FOR PRESIDENT
P00015370,2024,"KELLY, NATHAN DOUGLAS MR ""NATHANAEL""",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00737486},,C00737486,COMMITTEE TO ELECT NATHANAEL FOR PRESIDENT
P00015560,2024,"PINNAVARIA, CARMELO (CARMEN) MR.",OTHER,Challenger,P,0.0,0.0,0.0,{C00837450},,C00837450,CARMELO PINNAVARIA
P00015867,2024,"FRANKLIN, LEE CHRISTOPHER",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00743997},,C00743997,CHRIS FRANKLIN FOR PRESIDENT
P00015925,2024,"WALTON, GREG",REPUBLICAN PARTY,Challenger,P,34389.51,34389.51,0.00,"{C00744367,C00762195,C00850347}",2024-12-31 00:00:00,C00850347,WALTON 2024 COMMITTEE
P00015941,2024,"FLORQUIST, CHRISTOPHER PAUL",UNAFFILIATED,,P,1913.03,2301.76,101.27,{C00745331},2022-07-17 00:00:00,C00745331,COMMITTEE TO ELECT CHRIS FLORQUIST PRESIDENT
P00016154,2024,"HARBOUR, MICHAEL",NO PARTY AFFILIATION,Challenger,P,0.0,0.0,0.0,{C00747048},,C00747048,HARBOUR 4 PREZ
P00016261,2024,"BONHAM, JEREMY SCOTT",INDEPENDENCE PARTY,Challenger,P,0.0,0.0,0.0,{C00748194},,C00748194,BONHAMS COMMITTEE
P00016311,2024,"FARMS, WILLIAM BRENDAN MR",INDEPENDENT,,P,0.0,0.0,0.0,"{C00749531,C00775973,C00824136}",,C00824136,WILLIAM FARMS HAS ESP
P00016857,2024,"STONE, BARBARA",PEOPLE'S PARTY,Challenger,P,0.0,0.0,0.0,{C00752717},,C00752717,BARBARA STONE WE THE PEOPLE
P00017038,2024,"PRINCESS, OAWLAWOLWAOL",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,"{C00754911,C00887059}",,C00887059,ROYAL CONSTITUENCY TROT BY PRINCESS OAWLAWOLWAOL
P00017392,2024,"MILLER-JAMISON, LATOWYA",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00759894},,C00759894,LATOWYA MILLER-JAMISON FOR PRESIDENT
P00017467,2024,"CORTESE, PHILIP SHAUN MR.",WRITE-IN,Challenger,P,0.0,0.0,0.0,"{C00760793,C00865568}",,C00865568,COMMITTEE TO ELELCT PHILIP S CORTESE PRESIDENT
P20002630,2024,"TITTLE, SHEILA SAMM MPRESIDENT",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00495069},,C00495069,MADAME PRESIDENT TITTLE
P20003174,2024,"SPONHEIM, DAVID JON",OTHER,Challenger,P,511.41,2419.90,0.00,{C00499723},2024-12-31 00:00:00,C00499723,DAVID JON SPONHEIM FOR PRESIDENT
P20003349,2024,"JORDAN, ROBERT",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,"{C00712042,C00842872}",,C00842872,ROBERT JORDAN 2024.COM
P20003984,2024,"STEIN, JILL",GREEN PARTY,Open seat,P,3673927.91,3718354.86,-38982.64,"{C00581199,C00856112}",2024-12-31 00:00:00,C00856112,JILL STEIN FOR PRESIDENT 2024
P20003992,2024,"BURTON, THOMAS EDWARD III",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00829374},,C00829374,THE THOMAS EDWARD BURTON III CHRISTIAN ACTION COMMITTEE
P20004487,2024,"NEY, JENNIFER LEE ANN",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00802611},,C00802611,PINK PARTY JENNIFER NEY 
P20004909,2024,"SANDERA, ROBERT WILLIAM",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00520304},,C00520304,ROBERT SANDERA FOR PRESIDENT COMMITTEE
P20005203,2024,"PINKNEY, PAMELA M REV",OTHER,,P,0.0,0.0,0.0,{C00786160},,C00786160,PAMELA 2028
P20005542,2024,"BARNARD, DAVID J JR",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,"{C00770891,C00781013,C00828889}",,C00828889,DAVIED J BARNARD 4 PRESIDENT IN 2024
P20005583,2024,"BARNARD, ALYCIA M",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00813493},,C00813493,ALYCIA M BARNARD FOR PRESIDENT
P20005609,2024,"NETUPSKY, IAN SCOT MR.",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00781880},,C00781880,FRIENDS OF IAN NETUPSKY FOR PRESIDENT
P20005765,2024,"SANTIAGO-MATIAS, JOSELITO",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00804112},,C00804112,SANTIAGO-MATIAS
P20005948,2024,"PATTERSON, FREDERICK TAYLOR MR.",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00821694},,C00821694,FREDERICK T.AYLOR PATTERSON
P20006060,2024,"RODRIGUEZ, JOSHUA",LIBERTARIAN PARTY,Challenger,P,0.0,0.0,0.0,{C00757534},,C00757534,JOSHUA RODRIGUEZ FOR UNITY
P40003584,2024,"CAVANAGH, ERIC SCOTT",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00564880},,,
P40003642,2024,"ISLER, DANIEL MOSES",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00589069},,C00589069,DANIEL ISLER FOR PRESIDENT
P40003725,2024,"CHAPMAN, PATRICK MICHAEL II",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00627687},,C00627687,PATRICK MICHAEL CHAPMAN II
P40003766,2024,"JAMISON, TYRONE",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00690909},,C00690909,JAMISON FOR PRESIDENT
P40003782,2024,"TOWNSEND, ANDREW",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00657924},,C00657924,TOWNSEND FOR PRESIDENT 2024
P40003790,2024,"SULLIVAN, TAYLOR",UNAFFILIATED,Challenger,P,0.0,0.0,0.0,{C00659052},,C00659052,TAYLOR SULLIVAN FOR PRESIDENT 2024
P40003808,2024,"POWELL, ASHLEY ANN MRS.",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,"{C00669408,C00688176}",,C00688176,POWELL FOR PRESIDENT
P40003824,2024,"FRAYER, DONALD ROBERT",REPUBLICAN PARTY,Challenger,P,658.15,1136.21,-1076.41,{C00677799},2024-12-31 00:00:00,C00677799,DRAFT COMMITTEE DONALD ROBERT FRAYER FOR PRESIDENT 2024
P40003907,2024,"BUSA, MICHAEL ANTHONY MR",NO PARTY AFFILIATION,Challenger,P,0.00,0.00,0.00,{C00836445},2023-03-31 00:00:00,C00836445,THE AMERICAN PEOPLE DESERVE MICHAEL BUSA
P40003923,2024,"NERO, ANDRE MANDEL",LIBERTARIAN PARTY,Challenger,P,0.0,0.0,0.0,"{C00726927,C00820662}",,C00820662,NERO FOR AMERICA
P40003949,2024,"MCGUIRE, SEAN THOMAS",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00732164},,,
P40003956,2024,"VANDUSEN-TORRES, DENNIS PAUL MR",NON-PARTY,Challenger,P,0.0,0.0,0.0,{C00734228},,C00734228,VANDUSEN-TORRES FOR PRESIDENT 2024
P40003980,2024,"PETTENARO, CHRISTOPHER ANTHONY PHILLIP MR",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00746800},,C00746800,AMERICANS UNITED! PETTENARO FOR PRESIDENT 2024
P40004004,2024,"NAVARRO, RAMON MR",NONE,Challenger,P,0.0,0.0,0.0,{C00747949},,C00747949,RAMON NAVARRO FOR PRESIDENT
P40004012,2024,"LANCE, NICHOLAS",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00750422},,C00750422,NICHOLAS LANCE PRESIDENTIAL CAMPAIGN
P40004038,2024,"NIXON, JAMES HARRISON",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00752907},,C00752907,JAMES HARRISON NIXON FOR PRESIDENT
P40004046,2024,"GARCIA, BENJAMIN",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00753566},,C00753566,GARCIA FOR PRESIDENT
P40004053,2024,"D'AMICO, SAMUEL NICHOLAS",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,"{C00753574,C00753582}",,C00753574,SAMUEL D'AMICO FOR AMERCIA
P40004079,2024,"GRIFFIN, CLIFFORD DAVID",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00757476},,C00757476,CLIFFORD DAVID GRIFFIN
P40004087,2024,"MANTANONA, NICHOLAS BRENT",OTHER,Challenger,P,0.0,0.0,0.0,{C00758912},,C00758912,NICHOLAS MANTANONA FOR UNITED STATES PRESIDENT
P40004095,2024,"MURDOCK, DAVID ALEXANDER MR",PEACE AND FREEDOM PARTY,Challenger,P,0.0,0.0,0.0,{C00760876},,C00760876,THE MURDOCK COMPANY
P40004103,2024,"LITZENBERG, GREGORY",INDEPENDENT,Challenger,P,0.0,0.0,0.0,"{C00761312,C00761320}",,C00761320,GLITZY CIRCLE OF CHAMPIONS
P40004145,2024,"KNIGHT, DAN EDWARD PRES. SR.",OTHER,Challenger,P,0.0,0.0,0.0,"{C00711424,C00762138}",,C00711424,DAN EDWARD KNIGHT NEW 2020-2024 PRESIDENT
P40004152,2024,"CAMP, JOJO",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00762187},,C00762187,JOJO CAMP FOR PRESIDENT
P40004202,2024,"ALTUCHER, JAMES",UNKNOWN,Challenger,P,0.0,0.0,0.0,{C00762450},,C00762450,JAMES ALTUCHER FOR PRESIDENT
P40004236,2024,"MUNOZ, HEATHER DR.",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00746974},,C00746974,HEATHER MU?OZ REGAL FUND
P40004244,2024,"TILLIS, CHRISTOPHER GEORGE",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.00,{C00762492},2024-06-30 00:00:00,C00762492,CHRISTOPHER TILLIS FOR PRESIDENT
P40004277,2024,"LINDSEY, BEAU",LIBERTARIAN PARTY,Challenger,P,0.0,0.0,0.0,{C00762732},,C00762732,ITSBEAUTIME
P40004301,2024,"WILSON, JUDAH",UNAFFILIATED,Challenger,P,0.0,0.0,0.0,{C00763276},,C00763276,BE KIND TO ANIMALS BY JUDAH B. WILSON
P40004368,2024,"RULLAN, JUAN F",WRITE-IN,Challenger,P,0.00,0.00,0.00,{C00763821},2021-06-30 00:00:00,,
P40004376,2024,"GARRET, SAMMY MR",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00670026},,C00670026,GARRET 2020
P40004392,2024,"TINGLE, RALPH R JR",RESOURCE PARTY,Challenger,P,0.0,0.0,0.0,{C00764621},,C00764621,RESTORATION
P40004400,2024,"ELGIN, TJ SIR",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00764944},,C00764944,FRIENDS OF WOLFMAN
P40004418,2024,"KLOTZBUECHER, DAVID RICHARD MR",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00765008},,C00765008,DAVID KLOTZBUECHER FOR PRESIDENT
P40004426,2024,"D'AMATO, IRINA IOANA MRS.",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00765032},,C00765032,IRINA IOANA D'AMATO
P40004434,2024,"JENKINS, MICHAEL DWAYNE",WRITE-IN,Challenger,P,0.00,0.00,0.00,{C00765065},2024-01-31 00:00:00,C00765065,MICHAEL DWAYNE JENKINS PRIORITIES PARTY FOR PRESIDENT OF THE UNITED STATES OF AMERICA WORLD UNION PARTY 2024
P40004459,2024,"PULLIAM, ALANDER LEE JR",INDEPENDENT,Challenger,P,5228723.00,5164758.00,780784.00,{C00765909},2024-12-31 00:00:00,C00765909,PULLIAM'S COMMITEE
P40004467,2024,"BUSH-BOYD, WILLITA D",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00572032},,C00572032,WILLITA D BUSH FOR PRESIDENT EXPLORATORY COMMITTEE
P40004533,2024,"TOULME, ALIX CHRISTOPHER MR. JR.",WRITE-IN,Challenger,P,0.0,0.0,0.0,"{C00764258,C00823880}",,C00823880,ALIX CHRISTOPHER TOULME JR. FOR PRESIDENT 2024
P40004582,2024,"BROWN, JESSICA MARIE",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00768176},,C00768176,JESSICA BROWN
P40004608,2024,"WMC, REECE WMC 717 SIR",COMMUNIST PARTY,Challenger,P,0.0,0.0,0.0,{C00768739},,,
P40004616,2024,"CAMPBELL, CHRISTOPHER JOESPH",DEMOCRATIC PARTY,,P,0.00,0.00,2800.00,{C00772566},2021-04-30 00:00:00,C00772566,CHRISTOPHER CAMPBELL FOR PRESIDENT
P40004624,2024,"KENNEDY, KYLE",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00769323},,,
P40004632,2024,"WALLACE, VINCENT WADE",AMERICAN INDEPENDENT CONSERVATIVE,Challenger,P,0.0,0.0,0.0,{C00719195},,C00719195,"VINCE WALLACE FOR LIFE,LIBERTY,AND JUSTICE FOR ALL!"
P40004665,2024,"HARDISON, CASEY WILLIAM MR",OTHER,Challenger,P,4861.72,2284.19,2577.53,{C00768937},2021-06-30 00:00:00,C00768937,"CASEY WILLIAM HARDISON FOR PRESIDENT, INC"
P40004673,2024,"VAN HOUTEN, ARTHUR LINWOOD MR. III",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00769935},,C00769935,PATRIOTS FOR VAN HOUTEN
P40004681,2024,"FAULKNOR, DONALD EARL MR. JR",REPUBLICAN PARTY,Challenger,P,-0.76,0.00,24.24,{C00769943},2021-06-30 00:00:00,C00769943,FAULKNOR 4 PRESIDENT
P40004749,2024,"VISSA, NARESH",FREEDOM PARTY,Challenger,P,0.0,0.0,0.0,{C00770537},,C00770537,NARESH VISSA FOR PRESIDENT 2024: DESTROY THE RADICAL LEFT & BRING BACK DR. SEUSS
P40004756,2024,"VANPOOL, LARRY",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00770545},,C00770545,LARRY VANPOOL
P40004764,2024,"FROST, TARA",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00770552},,C00770552,PEOPLE FOR TARA FROST FOR VP
P40004780,2024,"HILL, MAXIMILLIAN MR.",INDEPENDENCE PARTY,Challenger,P,0.0,0.0,0.0,{C00842633},,C00842633,MKH 2024
P40004806,2024,"PETERSON, JAMES CHRISTENSEN MR.",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00770651},,C00770651,NO CHANCE
P40004814,2024,"ROSEN, JONATHAN MR",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00770677},,C00770677,COMMITTEE TO ELECT JON ROSEN
P40004822,2024,"KENNEDY, RAOUL",UNKNOWN,Challenger,P,0.0,0.0,0.0,{C00770693},,C00770693,RAOUL KENNEDY FOR PRESIDENT
P40004830,2024,"QUAGLIA, PETER VINCENT MR.",NONE,Challenger,P,0.0,0.0,0.0,{C00770685},,C00770685,COMMITTEE TO ELECT PETER VINCENT QUAGLIA
P40004848,2024,"CHAPMAN, ROBERT",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00770719},,C00770719,CHAPMAN FOR PRESIDENT
P40004855,2024,"DEPENDAHL, SAM JOHN",UNAFFILIATED,Challenger,P,0.0,0.0,0.0,{C00770750},,C00770750,SAM DEPENDAHL FOR PRESIDENT
P40004863,2024,"HERSHEY, JASON SEAN",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00770917},,C00770917,MODERN EVIL OVERLORDS FOR JASON HERSHEY FOR PRESIDENT
P40004947,2024,"DOLAN, MATTHEW",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00771428},,C00771428,DOLAN FOR PRESIDENT
P40004954,2024,"KROSS, STEVEN",REPUBLICAN PARTY,Challenger,P,1447.85,1447.80,0.05,{C00772269},2023-12-31 00:00:00,C00772269,KROSS FOR AMERICA
P40004970,2024,"GUILLAND, MATT",UNAFFILIATED,Challenger,P,0.0,0.0,0.0,{C00771790},,C00771790,MATT GUILLAND FOR PRESIDENT
P40005753,2024,"HASTINGS, NIKOLETTE",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00773895},,C00773895,SOULSHINE REFORMERS
