"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2017","Arizona","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","5,329,802"
"2022","Arizona","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","5,548,618"
"2012","Arizona","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","8,437"
"2017","Arizona","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","9,455"
"2022","Arizona","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","9,404"
"2012","Arkansas","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","75"
"2017","Arkansas","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","75"
"2022","Arkansas","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","75"
"2012","Arkansas","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","37"
"2017","Arkansas","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","37"
"2022","Arkansas","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","36"
"2012","Arkansas","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","5"
"2017","Arkansas","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","5"
"2022","Arkansas","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","5"
"2012","Arkansas","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","13"
"2017","Arkansas","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","13"
"2022","Arkansas","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","12"
"2012","Arkansas","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","1"
"2017","Arkansas","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2022","Arkansas","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","3"
"2012","Arkansas","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","8"
"2017","Arkansas","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","6"
"2022","Arkansas","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","5"
"2012","Arkansas","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","Arkansas","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","Arkansas","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","Arkansas","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","11"
"2017","Arkansas","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","12"
"2022","Arkansas","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","14"
"2012","Arkansas","Government Organization","GO0018","Total population of county governments","001","State and Local","2,915,918"
"2017","Arkansas","Government Organization","GO0018","Total population of county governments","001","State and Local","3,004,279"
"2022","Arkansas","Government Organization","GO0018","Total population of county governments","001","State and Local","3,025,891"
"2012","Arkansas","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","628,787"
"2017","Arkansas","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","620,831"
"2022","Arkansas","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","600,498"
"2012","Arkansas","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","770,503"
"2017","Arkansas","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","710,195"
"2022","Arkansas","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","591,287"
"2012","Arkansas","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","454,991"
"2017","Arkansas","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","474,683"
"2022","Arkansas","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","444,632"
"2012","Arkansas","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","382,748"
"2017","Arkansas","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","660,256"
"2022","Arkansas","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","941,570"
"2012","Arkansas","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","589,938"
"2017","Arkansas","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","446,518"
"2022","Arkansas","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","341,957"
"2012","Arkansas","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","Arkansas","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","Arkansas","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","Arkansas","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","88,951"
"2017","Arkansas","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","91,796"
"2022","Arkansas","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","105,947"
"2012","California","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","57"
"2017","California","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","57"
"2022","California","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","57"
"2012","California","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","6"
"2017","California","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","6"
"2022","California","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","6"
"2012","California","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","9"
"2017","California","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","9"
"2022","California","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","10"
"2012","California","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","6"
"2017","California","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","6"
"2022","California","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","6"
"2012","California","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","10"
"2017","California","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","9"
"2022","California","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","10"
"2012","California","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","8"
"2017","California","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","8"
"2022","California","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","7"
"2012","California","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","15"
"2017","California","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","16"
"2022","California","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","15"
"2012","California","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","3"
"2017","California","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","3"
"2022","California","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","3"
"2012","California","Government Organization","GO0018","Total population of county governments","001","State and Local","36,448,721"
"2017","California","Government Organization","GO0018","Total population of county governments","001","State and Local","38,652,290"
"2022","California","Government Organization","GO0018","Total population of county governments","001","State and Local","38,422,635"
"2012","California","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","106,211"
"2017","California","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","103,019"
"2022","California","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","107,256"
"2012","California","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,528,612"
"2017","California","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,584,866"
"2022","California","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,669,363"
"2012","California","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","220,196"
"2017","California","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","214,876"
"2022","California","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","221,662"
"2012","California","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","3,567,006"
"2017","California","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","3,275,104"
"2022","California","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","3,808,375"
"2012","California","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","592,259"
"2017","California","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","604,241"
"2022","California","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","530,540"
"2012","California","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","30,420,336"
"2017","California","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","32,857,206"
"2022","California","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","32,072,260"
"2012","California","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","14,101"
"2017","California","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","12,978"
"2022","California","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","13,179"
"2012","Colorado","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","62"
"2017","Colorado","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","62"
"2022","Colorado","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","62"
"2012","Colorado","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","17"
"2017","Colorado","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","15"
"2022","Colorado","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","14"
"2012","Colorado","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2017","Colorado","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2022","Colorado","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
